C (%),H (%),O (%),S (%),N (%),H/C,O/C,N/C,Ash (%),SC (%),T (°C),RT (min),Mass_RS (g/mol),Polarity _RS (10-3),Mass_SE (g/mol),Polarity _SE (10-3),Yield_oil (%),N_oil (%),ER_oil (%)
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,32.3,6.81,42.63
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,250,10,18,1000,84.93,309,20.6,3.61,29.18
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,33.9,6.69,45.79
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,350,10,18,1000,84.93,309,29.4,6.42,41.07
50.12,6.93,25.86,0.47,10.31,1.66,0.39,0.18,6.31,10,300,10,18,1000,84.93,309,34.6,5.91,48.16
44.53,5.63,31.5,0.35,5.98,1.52,0.53,0.12,12,5.6,250,5,18,1000,84.93,309,35.7,4.16,53.59
44.53,5.63,31.5,0.35,5.98,1.52,0.53,0.12,12,5.6,375,5,18,1000,84.93,309,58.1,6.23,88.42
37.85,4.96,35.07,0.93,5.3,1.57,0.7,0.12,15.9,5.6,250,5,18,1000,84.93,309,29.4,5.41,41
37.85,4.96,35.07,0.93,5.3,1.57,0.7,0.12,15.9,5.6,375,5,18,1000,84.93,309,45.6,6.3,78.85
32.87,3.96,35.74,0.31,4.82,1.45,0.82,0.13,22.3,5.6,250,5,18,1000,84.93,309,33,5.64,58.79
32.87,3.96,35.74,0.31,4.82,1.45,0.82,0.13,22.3,5.6,375,5,18,1000,84.93,309,55.3,7.33,99.28
41.13,5.5,37.16,0.99,5.41,1.61,0.68,0.12,9.8,5.6,250,5,18,1000,84.93,309,24.7,5.12,38.05
41.13,5.5,37.16,0.99,5.41,1.61,0.68,0.12,9.8,5.6,375,5,18,1000,84.93,309,47.1,6.97,77.23
48.58,7.02,29.48,0.47,8.05,1.73,0.46,0.14,6.4,5.6,250,5,18,1000,84.93,309,44.8,5.41,61.23
48.58,7.02,29.48,0.47,8.05,1.73,0.46,0.14,6.4,5.6,375,5,18,1000,84.93,309,55.3,6.4,75.65
48.52,6.23,29.17,0,10.48,1.54,0.45,0.19,5.6,30,280,120,18,1000,58.08,529.41,46.11,8.54,54.78
48.52,6.23,29.17,0,10.48,1.54,0.45,0.19,5.6,30,280,120,26.03,834.73,58.08,529.41,55.19,8.94,65.04
48.52,6.23,29.17,0,10.48,1.54,0.45,0.19,5.6,30,280,120,32.04,710.79,58.08,529.41,54.35,9.4,64.97
48.52,6.23,29.17,0,10.48,1.54,0.45,0.19,5.6,30,280,120,38.05,586.84,58.08,529.41,57.32,10.24,67.87
48.52,6.23,29.17,0,10.48,1.54,0.45,0.19,5.6,30,280,120,46.07,421.57,58.08,529.41,49.82,10.35,59.75
46.81,6.32,28.12,0.45,7.3,1.62,0.45,0.14,11,10,350,60,18,1000,84.93,309,35.75,5.9,46.86
46.81,6.32,28.12,0.45,7.3,1.62,0.45,0.14,11,10,350,60,18,1000,84.93,309,28.31,4.9,42.46
46.81,6.32,28.12,0.45,7.3,1.62,0.45,0.14,11,10,350,60,18,1000,84.93,309,27.67,5.33,37.81
40.46,5.99,26.1,0,6.31,1.78,0.48,0.14,21.14,10,350,60,18,1000,84.93,309,21.55,5.42,29.41
40.46,5.99,26.1,0,6.31,1.78,0.48,0.14,21.14,10,350,60,18,1000,84.93,309,27.28,4.69,23.09
40.46,5.99,26.1,0,6.31,1.78,0.48,0.14,21.14,10,350,60,18,1000,84.93,309,20.07,5.67,27.93
50.13,6.12,22.95,0.72,10.08,1.46,0.34,0.18,10,10,350,60,18,1000,84.93,309,29.51,7,38.12
50.13,6.12,22.95,0.72,10.08,1.46,0.34,0.18,10,10,350,60,18,1000,84.93,309,18.79,4.62,26.77
50.13,6.12,22.95,0.72,10.08,1.46,0.34,0.18,10,10,350,60,18,1000,84.93,309,19.93,5.76,26.33
40.06,5.61,19.81,0.28,5.26,1.68,0.37,0.11,28.98,10,250,7,18,1000,84.93,309,21.43,4.5,24.44
40.06,5.61,19.81,0.28,5.26,1.68,0.37,0.11,28.98,10,350,30,18,1000,84.93,309,35.24,5.5,45.36
46.2,6.39,30.34,0,11.17,1.66,0.49,0.21,5.9,20,300,30,18,1000,90.27,503.27,31,6.42,39.69
53.7,7.5,23.5,0,9.6,1.68,0.33,0.16,5.7,20,300,30,18,1000,90.27,503.27,50,6.1,60.41
45.91,7.07,28.09,2.26,10.94,1.85,0.46,0.21,5.73,20,280,30,18,1000,84.93,309,36.64,6.75,51.42
45.91,7.07,28.09,2.26,10.94,1.85,0.46,0.21,5.73,20,350,30,18,1000,84.93,309,37.93,6.54,53.03
39.25,6.06,38.79,1.4,7.74,1.85,0.74,0.17,6.76,20,280,30,18,1000,84.93,309,36.47,6.34,51.99
39.25,6.06,38.79,1.4,7.74,1.85,0.74,0.17,6.76,20,350,30,18,1000,84.93,309,32.77,5.69,45.95
43.16,6.64,33.1,3.13,8.82,1.85,0.58,0.18,5.15,20,280,30,18,1000,84.93,309,31.88,7.16,46.22
43.16,6.64,33.1,3.13,8.82,1.85,0.58,0.18,5.15,20,350,30,18,1000,84.93,309,32.94,6.75,51.53
47.82,7.25,29.68,2.1,8.59,1.82,0.47,0.16,4.56,20,280,30,18,1000,84.93,309,30.64,7.05,36.3
47.82,7.25,29.68,2.1,8.59,1.82,0.47,0.16,4.56,20,350,30,18,1000,84.93,309,29.64,0.7,45.95
38.87,6.02,39.53,0.85,8.85,1.86,0.76,0.2,5.88,20,280,30,18,1000,84.93,309,28.4,8.07,45.02
38.87,6.02,39.53,0.85,8.85,1.86,0.76,0.2,5.88,20,350,30,18,1000,84.93,309,29.69,7.39,49.4
29.1,5.84,52.17,6.52,3.7,2.41,1.34,0.11,2.66,20,280,30,18,1000,84.93,309,27.06,5.49,50.09
29.1,5.84,52.17,6.52,3.7,2.41,1.34,0.11,2.66,20,350,30,18,1000,84.93,309,24.87,5.94,66.77
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,175,5,18,1000,84.93,309,8.8,0.4,10.84
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,200,5,18,1000,84.93,309,10,1.6,12.97
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,225,5,18,1000,84.93,309,12.1,3.5,17.65
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,250,5,18,1000,84.93,309,26.7,4.1,36.68
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,275,5,18,1000,84.93,309,35.1,5.71,47.43
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,300,5,18,1000,84.93,309,40.5,6.3,56.64
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,325,5,18,1000,84.93,309,40.7,6.3,56.28
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,350,5,18,1000,84.93,309,45.3,6.2,62.81
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,375,5,18,1000,84.93,309,49.4,6.31,69.91
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,400,5,18,1000,84.93,309,39.7,5.8,57.18
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,425,5,18,1000,84.93,309,40.3,6.4,57.29
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,450,5,18,1000,84.93,309,31.2,6.5,44.76
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,175,60,18,1000,84.93,309,13.5,1,17.87
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,200,60,18,1000,84.93,309,23,3.7,31.56
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,225,60,18,1000,84.93,309,30,4.8,41.25
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,250,60,18,1000,84.93,309,37,5.9,51.79
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,275,60,18,1000,84.93,309,40.3,6,57.04
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,300,60,18,1000,84.93,309,46.6,6,66.98
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,325,60,18,1000,84.93,309,41.2,6,58.73
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,350,60,18,1000,84.93,309,46.5,6,68.48
